"infectious_time","Rt_day_avg","smoothRt_day_avg"
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,1,0.166666666666667
6,0,0.142857142857143
7,0,0.142857142857143
8,0,0.142857142857143
9,1,0.285714285714286
10,1,0.428571428571429
11,3,0.857142857142857
12,0.75,0.821428571428571
13,1.66666666666667,1.05952380952381
14,3,1.48809523809524
15,0.666666666666667,1.58333333333333
16,0.666666666666667,1.53571428571429
17,0.333333333333333,1.44047619047619
18,0.833333333333333,1.13095238095238
19,3,1.45238095238095
20,0,1.21428571428571
21,1.25,0.964285714285714
22,1,1.01190476190476
23,1.75,1.16666666666667
24,0.6,1.2047619047619
25,1.66666666666667,1.32380952380952
26,0.2,0.923809523809524
27,0.428571428571429,0.985034013605442
28,0.8,0.920748299319728
29,0.2,0.806462585034014
30,0.2,0.585034013605442
31,0.166666666666667,0.52312925170068
32,0,0.285034013605442
33,0.2,0.285034013605442
34,0.4,0.280952380952381
35,0.6,0.252380952380952
36,0.333333333333333,0.271428571428571
37,0.166666666666667,0.266666666666667
38,0.166666666666667,0.266666666666667
39,0,0.266666666666667
40,0,0.238095238095238
41,0.5,0.252380952380952
42,0,0.166666666666667
43,0.142857142857143,0.139455782312925
44,0.428571428571429,0.17687074829932
45,0,0.153061224489796
46,0,0.153061224489796
47,0,0.153061224489796
48,0.166666666666667,0.105442176870748
49,0,0.105442176870748
50,0,0.0850340136054422
51,0.75,0.130952380952381
52,1.14285714285714,0.29421768707483
53,0.285714285714286,0.335034013605442
54,0.333333333333333,0.38265306122449
55,0,0.358843537414966
56,0,0.358843537414966
57,0.333333333333333,0.406462585034014
58,0,0.299319727891156
59,0,0.136054421768707
60,0,0.0952380952380952
61,0.5,0.119047619047619
62,0.2,0.147619047619048
63,0.5,0.219047619047619
64,0.5,0.242857142857143
65,0,0.242857142857143
66,0,0.242857142857143
67,0,0.242857142857143
68,0.25,0.207142857142857
69,0,0.178571428571429
70,0,0.107142857142857
71,0,0.0357142857142857
72,0,0.0357142857142857
73,1,0.178571428571429
74,0.5,0.25
75,0,0.214285714285714
76,0,0.214285714285714
77,0,0.214285714285714
78,0.2,0.242857142857143
79,0.25,0.278571428571429
80,0,0.135714285714286
81,0.166666666666667,0.0880952380952381
82,0,0.0880952380952381
83,0,0.0880952380952381
84,0,0.0880952380952381
85,0.125,0.0773809523809524
86,0,0.0416666666666667
87,0,0.0416666666666667
88,0.25,0.0535714285714286
89,0,0.0535714285714286
90,0.333333333333333,0.101190476190476
91,0.25,0.136904761904762
92,0,0.119047619047619
93,0,0.119047619047619
94,0,0.119047619047619
95,0.142857142857143,0.103741496598639
96,0.25,0.139455782312925
97,0.5,0.163265306122449
98,0.142857142857143,0.147959183673469
99,0,0.147959183673469
100,0,0.147959183673469
101,0,0.147959183673469
102,0,0.127551020408163
103,0,0.0918367346938776
104,0,0.0204081632653061
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0.333333333333333,0.0476190476190476
113,0,0.0476190476190476
114,0,0.0476190476190476
115,0.166666666666667,0.0714285714285714
116,0.333333333333333,0.119047619047619
117,0,0.119047619047619
118,0,0.119047619047619
119,0.25,0.107142857142857
120,0,0.107142857142857
121,0,0.107142857142857
122,0,0.0833333333333333
123,0.166666666666667,0.0595238095238095
124,0.5,0.130952380952381
125,0.25,0.166666666666667
126,0.2,0.15952380952381
127,0,0.15952380952381
128,0.333333333333333,0.207142857142857
129,0,0.207142857142857
130,0.5,0.254761904761905
131,0.25,0.219047619047619
132,0.142857142857143,0.203741496598639
133,0,0.175170068027211
134,0.1,0.189455782312925
135,0,0.141836734693878
136,0.333333333333333,0.189455782312925
137,0.333333333333333,0.165646258503401
138,0,0.129931972789116
139,0,0.10952380952381
140,0.5,0.180952380952381
141,0.25,0.202380952380952
142,0,0.202380952380952
143,0.25,0.19047619047619
144,0.333333333333333,0.19047619047619
145,1,0.333333333333333
146,1,0.476190476190476
147,1,0.547619047619048
148,1.16666666666667,0.678571428571429
149,0.5,0.75
150,0.333333333333333,0.761904761904762
151,0,0.714285714285714
152,1.16666666666667,0.738095238095238
153,0.2,0.623809523809524
154,0.4,0.538095238095238
155,0.4,0.428571428571429
156,1,0.5
157,1,0.595238095238095
158,0.8,0.70952380952381
159,0.6,0.628571428571429
160,0,0.6
161,0,0.542857142857143
162,0.857142857142857,0.608163265306122
163,0.75,0.572448979591837
164,0,0.429591836734694
165,1,0.458163265306122
166,1,0.51530612244898
167,1.5,0.729591836734694
168,1,0.872448979591837
169,0.5,0.821428571428571
170,0.428571428571429,0.775510204081633
171,1,0.918367346938776
172,1,0.918367346938776
173,2,1.06122448979592
174,0.75,0.954081632653061
175,2,1.0969387755102
176,0.333333333333333,1.07312925170068
177,0.333333333333333,1.05952380952381
178,0,0.916666666666667
179,1,0.916666666666667
180,0,0.630952380952381
181,4,1.0952380952381
182,0,0.80952380952381
183,0.333333333333333,0.80952380952381
184,0,0.761904761904762
185,4,1.33333333333333
186,0,1.19047619047619
187,1,1.33333333333333
188,0.5,0.833333333333333
189,2,1.11904761904762
190,6,1.92857142857143
191,0.666666666666667,2.02380952380952
192,2,1.73809523809524
193,2,2.02380952380952
194,0.5,1.95238095238095
195,1,2.02380952380952
196,0.333333333333333,1.78571428571429
197,0.666666666666667,1.02380952380952
198,0,0.928571428571429
199,0,0.642857142857143
200,0.25,0.392857142857143
201,0,0.321428571428571
202,2,0.464285714285714
203,4,0.988095238095238
204,0.333333333333333,0.94047619047619
205,2,1.22619047619048
206,0.5,1.29761904761905
207,0.5,1.33333333333333
208,0,1.33333333333333
209,0.5,1.11904761904762
210,0,0.547619047619048
211,0,0.5
212,2,0.5
213,0,0.428571428571429
214,1,0.5
215,0,0.5
216,0,0.428571428571429
217,5,1.14285714285714
218,0,1.14285714285714
219,0,0.857142857142857
220,1,1
221,0.5,0.928571428571429
222,0,0.928571428571429
223,0,0.928571428571429
224,0,0.214285714285714
