"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,12,0.740472040680949,0.213755866007269,0.382612708679253,0.427265480836911,0.587356384562286,0.720008056278454,0.871324249607505,1.12351293609117,1.21449993522548
3,13,0.82296674591086,0.219947114564763,0.449923578065408,0.497538508589073,0.665931631209547,0.803457413897114,0.95877078138141,1.214967502491,1.30677689921981
4,14,0.866083824662199,0.231470638579482,0.473496086242587,0.523605670067044,0.700821287114282,0.845552354865848,1.00900293898767,1.27862238252778,1.37524188003957
5,15,1.02497439760165,0.264647251480012,0.573670389605524,0.631816801667646,0.836297372368214,1.00228937439378,1.18896150417497,1.49553918094414,1.60508401728297
6,16,1.01579494500593,0.271482618530647,0.555344548863854,0.614116067850583,0.821965149944805,0.991714408412589,1.18341903604949,1.49964485625827,1.6129659856533
7,17,1.10147116685408,0.284398632370233,0.616485050657826,0.678971095667639,0.898712635881287,1.07709309551751,1.27769709995932,1.60715554511903,1.72487602573523
8,18,1.02875706733654,0.274946891442547,0.562431061760382,0.621952538819267,0.832453893640043,1.00436924937441,1.19852013729937,1.51878117916956,1.63354835074966
9,19,1.24346560894432,0.301584708676495,0.724364540351932,0.792317294369827,1.02900727803103,1.21917075474389,1.43147684021118,1.77751095101494,1.90052728999117
10,20,1.23843886713856,0.300365544710739,0.721436278008843,0.78911433126543,1.02484748956105,1.21424222551304,1.42569005815231,1.77032531713541,1.89284435938749
11,21,1.33357709883396,0.305943568801968,0.802900528675696,0.873279079347117,1.11650462447195,1.31025538774167,1.52525799486099,1.87344913761748,1.99669903188916
12,22,1.32253005363596,0.295726710221645,0.807835715126452,0.876483754464362,1.11291879124742,1.30055439324445,1.50821372345296,1.84355661478415,1.96202977827269
13,23,1.35773736847715,0.28947057958211,0.850886780245052,0.919172062394159,1.15293906919811,1.33722192535427,1.54019552893948,1.86629908616969,1.9811073488298
14,24,1.26136499487252,0.268923920492712,0.79049072679254,0.85392911080379,1.07110330530162,1.24230574054963,1.43087225156248,1.73382893622305,1.84048809358573
15,25,1.32938311698455,0.26587662339691,0.860306660142748,0.924300185252979,1.14172962452708,1.31170063943299,1.49777886604721,1.79479500284536,1.89889603388024
16,26,1.34708882043806,0.259247364367416,0.887740020913063,0.950850578321207,1.16437183362542,1.33049509024975,1.51173251110808,1.79994057143051,1.90069363501914
17,27,1.25737299218022,0.241981545169005,0.82861672477588,0.887524132515063,1.08682491773621,1.24188440088487,1.4110514481517,1.68006491309918,1.77410784413217
18,28,1.29200907205267,0.235887504421522,0.871713095398367,0.929987235433142,1.1260680906416,1.27768211860635,1.44234425683978,1.70290982856444,1.79368919370336
19,29,1.3328904983972,0.232026453606606,0.917500488875999,0.975542110166812,1.16993451168983,1.31945140312256,1.48120673134366,1.73608800490926,1.82462418021088
20,30,1.28880012756339,0.221027398408606,0.89253155393067,0.948030632336447,1.13364752702457,1.27618709155762,1.43021254019978,1.67260034065296,1.75672059252757
21,31,1.19473619941642,0.204895567818454,0.827389549237852,0.878837990766944,1.05090751385617,1.18304373417038,1.32582753375925,1.55052450057741,1.62850518033466
22,32,1.14796783936378,0.19404198074596,0.79960166174115,0.848500389030137,1.01182426485396,1.13705351682408,1.27222150347172,1.48467050367764,1.55833656349324
23,33,1.25291210191686,0.198102797502315,0.895098774609766,0.945815176572994,1.11422269724096,1.24248677726563,1.38024333106521,1.59557532335273,1.66995278651332
24,34,1.33143031942504,0.200720672910722,0.96741930833686,1.01934962637876,1.19111884472243,1.32135742367054,1.46076698555836,1.67787458320234,1.75266817762742
25,35,1.25860273553963,0.189741501540903,0.914502674396386,0.963592468575931,1.12596612413622,1.24908081466518,1.38086484676396,1.58609692861946,1.65679940637654
26,36,1.16307953076658,0.175340836586153,0.84509536757497,0.890459431363767,1.04050953834764,1.15428028780457,1.27606240847528,1.46571814870407,1.53105457483101
27,37,1.21285643394948,0.173265204849925,0.897277866705272,0.942609656082848,1.09193531939232,1.20461576258442,1.32479852133406,1.51121583220934,1.5752538815654
28,38,1.25907672972116,0.172947489649169,0.943134870125275,0.98873468436109,1.13851648947895,1.25116692315581,1.37101813576217,1.5564024523025,1.61995856970653
29,39,1.26993488507633,0.169702187266706,0.959295164528223,1.00427337737532,1.15173032387045,1.26238380017122,1.37991129077187,1.56135618469796,1.62347704621745
30,40,1.27641684107252,0.164784705609751,0.97404051918901,1.01799175407282,1.16174848878052,1.26933268273591,1.38336561241926,1.55900869639657,1.61904331534712
31,41,1.23191615009499,0.15645350751565,0.944503048354836,0.986353849188343,1.12309430886322,1.22529931273865,1.33352755592212,1.50005094620756,1.55692447947932
32,42,1.18998997550676,0.148748746938344,0.91643728413776,0.956337336223861,1.08657184342668,1.18379788259529,1.28666043951962,1.44476609343507,1.49872482896038
33,43,1.14066258324236,0.141481780768307,0.880339300240042,0.918340700221741,1.04231737697911,1.13481839445147,1.23263920420573,1.38292109272295,1.43419141284103
34,44,1.07261414085754,0.134076767607192,0.826043588944213,0.862008060048501,0.979396758212847,1.06703281113624,1.15974941832851,1.30226016516654,1.35089662760615
35,45,1.05358362319097,0.130680965070028,0.813133597271014,0.848233944444005,0.962746157089671,1.04818558376075,1.13853868614044,1.27734795272818,1.32470426161895
36,46,1.16233754302326,0.136041319464574,0.911087088395019,0.94798018376392,1.06791811743611,1.15703439568531,1.25097774021116,1.39478568402958,1.44372010122283
37,47,1.25749477300409,0.14059218968939,0.997115148106951,1.03551595288246,1.16002948273083,1.2522591103378,1.34925421518951,1.49733405148477,1.54762351377822
38,48,1.24169530311417,0.137122307242867,0.987557123660203,1.02508010817442,1.14666444318331,1.23665142521621,1.33122928299063,1.4755166922928,1.52449298595912
39,49,1.13511258901948,0.126909445558166,0.900073687474915,0.934737240648205,1.04713283724897,1.13038647267136,1.21794179850975,1.35161017627735,1.3970053564163
40,50,1.07967041999577,0.11996337999953,0.857414159158487,0.890211361633546,0.996518785499665,1.07523059705892,1.15798349826973,1.28427507010279,1.32715387280594
41,51,1.144141271412,0.12127873221245,0.918839390913283,0.952226764061815,1.06017368544357,1.13985896304209,1.22344183875345,1.35066395618906,1.39377568640982
42,52,1.17280646143989,0.121614364778088,0.946606178590395,0.980190272762587,1.08865006799582,1.16860554309923,1.25238448556704,1.37975314699574,1.4228769590059
43,53,1.27040110887215,0.124573077773635,1.03800976495573,1.07267250497992,1.18430717729318,1.26633163871078,1.3520598101052,1.48201172161079,1.52591609535958
44,54,1.48937551120637,0.1316434404634,1.24255031139313,1.2796552968396,1.39859681959486,1.48549872991084,1.57592879929789,1.71232029952408,1.75822995767021
45,55,1.48364346483062,0.126756215549947,1.2456165272557,1.2814837929553,1.39629479313732,1.4800351923134,1.5670593397636,1.69811173398945,1.74217402072323
46,56,1.37238771323729,0.115168218530416,1.15595072849804,1.18860433643873,1.29305248536547,1.36916749371438,1.44821307703908,1.56715594005632,1.60712330690646
47,57,1.31104620398382,0.105991803511576,1.11153732160317,1.14171090272499,1.23808476891598,1.30819100310536,1.38089558810337,1.49012117387059,1.52677961393647
48,58,1.28042957879823,0.0999847520771814,1.09195942121961,1.12052607886149,1.21164786051419,1.27782802212794,1.34637567838631,1.44920749540328,1.48368302651117
49,59,1.23163803977784,0.0944623255442208,1.05344987148621,1.08048785921106,1.16667665340886,1.22922390685993,1.29396808030249,1.39102328888425,1.42354450423216
50,60,1.29146597426439,0.0934471982576947,1.11479873139806,1.14169795280282,1.2272688393354,1.28921280756194,1.35320717497322,1.44891995196958,1.48093692884309
51,61,1.28910490326833,0.0904774269437236,1.11786151621817,1.14397945975896,1.22698017793009,1.28698876547871,1.34892303793746,1.44144886120219,1.47237337687282
52,62,1.2490599119648,0.0859888305233591,1.0861998758891,1.11106538891809,1.19003619456856,1.24708722869971,1.3059333946498,1.39378359455687,1.42312987176948
53,63,1.21954199347368,0.0818502993507645,1.06438313159037,1.08810488623623,1.16338230970879,1.21771133893738,1.27370624346769,1.35722376839656,1.38510372094806
54,64,1.19919053629427,0.0785615841191072,1.05014383584835,1.07295968480259,1.14530814040539,1.19747539313804,1.25120339769064,1.33127202044996,1.35798372440125
55,65,1.06103050160806,0.0718620532924483,0.924848475952812,0.945658938934634,1.01171675599132,1.05940857256078,1.10857633001272,1.18193473691405,1.20642928108141
56,66,1.0298419534911,0.0691184662998988,0.898818088566011,0.918849918773958,0.982417921563218,1.02829605769257,1.07558094183403,1.14610729638661,1.1696505158514
57,67,1.03041167397657,0.0683908248562999,0.900717891548271,0.920557893711509,0.98349528942554,1.02889898345073,1.07567920518697,1.14542549104537,1.16870147259104
58,68,1.05809331551966,0.0691697238850877,0.926855422018859,0.946947322152289,1.01065404214571,1.05658644238465,1.1038900714663,1.1743794980971,1.1978941816098
59,69,1.02896348307201,0.0679958208803042,0.899999632917193,0.9197324502091,0.982321336493487,1.02746610783278,1.07397346869552,1.14330230875125,1.16643632290747
60,70,1.05472499688203,0.0683676670302479,0.924972337491833,0.944845405230543,1.00784204816912,1.05324815937571,1.09999816477951,1.16964231945451,1.19286995573703
61,71,1.03870608786959,0.0674712108313146,0.910663709473293,0.930272739554285,0.992436355508221,1.0372455450137,1.08338380156055,1.15212158388351,1.17504816763423
62,72,1.07463129921164,0.0682391557391292,0.945035292750574,0.964904794979677,1.02785141123613,1.07318724794902,1.11983713768764,1.18928369086963,1.21243331115612
63,73,1.03125470478079,0.0664289551591581,0.905155423254566,0.924475029529785,0.985705675935647,1.02982870098235,1.07524936058992,1.1428987076567,1.16545742273859
64,74,1.00172341253683,0.0649320845975754,0.878491027664645,0.897365442599009,0.957196405484451,1.0003207884301,1.04472153278304,1.11086595952036,1.13292637067101
65,75,0.98679634461587,0.064099310664199,0.865152934191136,0.883781995319556,0.942838960237577,0.985408792960802,1.02924127207986,1.09454385682972,1.11632467558485
66,76,1.02082042748317,0.0652178248192221,0.896986838477911,0.915967125124927,0.976107555001056,1.01943189258663,1.06401976636555,1.13041024336879,1.15254453820059
67,77,1.03823084783292,0.065927724765148,0.913024582425849,0.932221054890845,0.993035511730221,1.03683571020031,1.08190545143172,1.14899967606682,1.17136516078207
