"infectious_time","incidence"
0,9
1,0
2,2
3,1
4,3
5,5
6,4
7,4
8,3
9,6
10,1
11,3
12,2
13,4
14,7
15,9
16,5
17,5
18,3
19,7
20,7
21,7
22,7
23,8
24,12
25,6
26,3
27,11
28,6
29,5
30,8
31,9
32,8
33,8
34,8
35,9
36,9
37,15
38,7
39,4
40,11
41,6
42,14
43,11
44,10
45,14
46,13
47,13
48,9
49,14
50,15
51,6
52,17
53,17
54,14
55,26
56,20
57,11
58,14
59,20
60,10
61,20
62,16
63,25
64,20
65,19
66,17
67,21
68,14
69,16
70,17
71,17
72,21
73,28
74,17
75,30
76,21
77,27
78,27
79,21
80,33
81,19
82,28
83,34
84,34
85,33
86,21
87,31
88,34
89,28
90,30
91,29
92,34
93,34
94,42
95,39
96,30
97,39
98,29
99,57
100,25
101,36
102,33
103,30
104,37
105,35
106,31
107,36
108,43
109,35
110,30
111,50
112,25
113,40
114,40
115,35
116,37
117,33
118,32
119,49
120,25
121,30
122,40
123,29
124,23
125,30
126,32
127,24
128,29
129,37
130,33
131,22
132,26
133,27
134,26
135,27
136,27
137,19
138,23
139,24
140,27
141,26
142,29
143,31
144,23
145,32
146,13
147,24
148,26
149,26
150,26
151,25
152,30
153,30
154,37
155,28
156,33
157,26
158,24
159,28
160,27
161,30
162,24
163,35
164,23
165,26
166,17
167,32
168,29
169,26
170,21
171,22
172,16
173,21
174,18
175,13
176,21
177,17
178,10
179,14
180,14
181,16
182,9
183,14
184,21
185,16
186,17
187,10
188,10
189,14
190,11
191,14
192,10
193,10
194,6
195,8
196,7
197,10
198,6
199,7
200,9
201,6
202,4
203,5
204,2
205,7
206,6
207,3
208,4
209,8
210,6
211,2
212,3
213,4
214,3
215,4
216,1
217,0
218,5
219,1
220,3
221,1
222,2
223,4
224,3
225,3
226,0
227,3
228,1
229,5
230,1
231,1
232,2
233,3
234,3
235,0
236,1
237,2
238,2
239,3
240,2
241,2
242,1
243,1
244,2
245,0
246,0
247,1
248,0
249,1
250,0
251,0
252,2
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,1
