"infectious_time","incidence"
0,9
1,0
2,0
3,4
4,1
5,2
6,2
7,2
8,2
9,0
10,4
11,5
12,4
13,8
14,3
15,6
16,6
17,6
18,9
19,8
20,10
21,6
22,8
23,14
24,7
25,13
26,8
27,19
28,12
29,10
30,14
31,12
32,15
33,24
34,15
35,21
36,19
37,26
38,20
39,23
40,20
41,34
42,26
43,23
44,35
45,25
46,31
47,44
48,36
49,46
50,43
51,37
52,61
53,53
54,52
55,52
56,65
57,66
58,65
59,57
60,73
61,64
62,75
63,83
64,74
65,84
66,77
67,83
68,91
69,81
70,94
71,91
72,90
73,97
74,110
75,96
76,94
77,76
78,101
79,99
80,88
81,84
82,108
83,75
84,117
85,79
86,89
87,87
88,82
89,91
90,87
91,108
92,92
93,85
94,93
95,75
96,88
97,79
98,72
99,74
100,57
101,70
102,69
103,51
104,39
105,52
106,49
107,51
108,43
109,37
110,52
111,50
112,31
113,34
114,29
115,31
116,34
117,20
118,22
119,22
120,19
121,18
122,10
123,16
124,23
125,15
126,14
127,9
128,9
129,17
130,12
131,6
132,8
133,4
134,9
135,10
136,6
137,6
138,5
139,2
140,4
141,5
142,3
143,0
144,3
145,4
146,4
147,3
148,2
149,2
150,6
151,2
152,2
153,2
154,2
155,0
156,0
157,0
158,0
159,2
160,0
161,0
162,0
163,0
164,1
165,0
166,1
