"infectious_time","incidence"
0,6
1,0
2,0
3,2
4,4
5,0
6,3
7,4
8,5
9,3
10,5
11,6
12,6
13,4
14,6
15,7
16,6
17,9
18,7
19,7
20,9
21,9
22,12
23,11
24,10
25,19
26,17
27,19
28,15
29,19
30,15
31,22
32,24
33,25
34,22
35,26
36,23
37,32
38,40
39,29
40,26
41,43
42,35
43,52
44,36
45,39
46,43
47,40
48,41
49,38
50,52
51,50
52,51
53,37
54,60
55,61
56,58
57,63
58,42
59,75
60,64
61,80
62,58
63,77
64,68
65,81
66,84
67,70
68,67
69,82
70,73
71,71
72,66
73,69
74,66
75,78
76,61
77,79
78,75
79,72
80,60
81,48
82,70
83,57
84,63
85,54
86,47
87,55
88,53
89,54
90,43
91,35
92,47
93,39
94,38
95,41
96,33
97,26
98,41
99,40
100,28
101,37
102,28
103,26
104,19
105,27
106,21
107,19
108,14
109,14
110,24
111,15
112,21
113,21
114,10
115,23
116,12
117,12
118,12
119,11
120,12
121,7
122,9
123,10
124,12
125,7
126,5
127,2
128,4
129,3
130,7
131,6
132,3
133,5
134,3
135,5
136,4
137,5
138,3
139,2
140,5
141,2
142,2
143,4
144,3
145,3
146,3
147,2
148,1
149,0
150,2
151,1
152,1
153,0
154,0
155,0
156,0
157,0
158,2
159,1
160,0
161,0
162,0
163,0
164,0
165,1
