"infectious_time","incidence"
0,7
1,0
2,0
3,2
4,0
5,2
6,3
7,1
8,6
9,5
10,1
11,4
12,6
13,5
14,4
15,6
16,7
17,6
18,8
19,9
20,10
21,6
22,6
23,13
24,12
25,12
26,9
27,12
28,10
29,13
30,10
31,17
32,14
33,10
34,19
35,15
36,19
37,13
38,22
39,21
40,19
41,18
42,31
43,32
44,26
45,42
46,41
47,26
48,37
49,35
50,34
51,35
52,48
53,38
54,50
55,39
56,49
57,56
58,56
59,37
60,66
61,66
62,67
63,76
64,70
65,76
66,62
67,67
68,74
69,68
70,73
71,83
72,76
73,81
74,73
75,78
76,84
77,90
78,75
79,102
80,96
81,101
82,77
83,68
84,66
85,79
86,90
87,76
88,75
89,82
90,67
91,73
92,76
93,80
94,63
95,59
96,58
97,67
98,55
99,68
100,65
101,66
102,64
103,53
104,49
105,45
106,54
107,55
108,45
109,33
110,33
111,45
112,37
113,40
114,19
115,36
116,30
117,17
118,33
119,27
120,24
121,30
122,17
123,23
124,14
125,12
126,20
127,10
128,12
129,13
130,12
131,12
132,8
133,20
134,10
135,6
136,7
137,11
138,8
139,6
140,7
141,4
142,14
143,6
144,2
145,7
146,7
147,13
148,7
149,7
150,6
151,3
152,5
153,5
154,4
155,6
156,3
157,7
158,8
159,3
160,2
161,3
162,5
163,2
164,6
165,4
166,4
167,0
168,4
169,2
170,2
171,0
172,2
173,1
174,1
175,1
176,1
177,2
178,1
179,1
180,0
181,1
