"","host_id","group","infector_id","infector_group","exposure_time","infectious_time","recovery_time"
"1",733,1,NA,NA,0,0,7
"2",5208,1,NA,NA,0,0,4
"3",6208,1,NA,NA,0,0,7
"4",6187,1,NA,NA,0,0,4
"5",9949,1,NA,NA,0,0,6
"6",1555,1,NA,NA,0,0,4
"7",5995,1,NA,NA,0,0,5
"8",3428,1,NA,NA,0,0,5
"9",928,1,NA,NA,0,0,7
"10",3938,1,5995,1,2,3,9
"11",5960,1,6208,1,2,4,9
"12",8432,1,3938,1,4,6,11
"13",12512,1,1555,1,2,4,10
"14",3487,1,733,1,1,4,10
"15",7173,1,3938,1,4,6,12
"16",11258,1,12512,1,6,8,12
"17",3235,1,8432,1,6,8,14
"18",1709,1,7173,1,8,10,16
"19",8028,1,8432,1,8,10,15
"20",14023,1,1709,1,11,14,20
"21",3565,1,8028,1,10,12,17
"22",4038,1,7173,1,8,12,17
"23",5054,1,1709,1,12,14,19
"24",6667,1,5054,1,14,16,22
"25",9335,1,7173,1,8,11,19
"26",10699,1,5054,1,14,15,21
"27",11818,1,9335,1,13,15,19
"28",528,1,9335,1,13,17,24
"29",2393,1,5054,1,16,18,22
"30",6841,1,528,1,17,19,25
"31",7706,1,11818,1,16,18,22
"32",8175,1,5054,1,16,18,22
"33",13204,1,6667,1,17,19,27
"34",1926,1,8984,1,21,22,26
"35",7402,1,528,1,19,21,26
"36",13247,1,528,1,20,22,28
"37",14008,1,528,1,18,20,24
"38",6358,1,10699,1,17,21,25
"39",8984,1,528,1,19,20,24
"40",773,1,13247,1,23,24,31
"41",2996,1,13247,1,22,24,30
"42",3385,1,2393,1,20,23,28
"43",8029,1,14008,1,21,23,28
"44",13033,1,2393,1,19,22,27
"45",3614,1,9620,1,23,25,30
"46",6432,1,2996,1,25,26,32
"47",9620,1,7706,1,19,21,28
"48",4167,1,5502,1,25,27,36
"49",5502,1,6358,1,22,24,29
"50",2588,1,773,1,25,26,32
"51",5124,1,13033,1,23,25,33
"52",9721,1,2588,1,26,28,34
"53",10488,1,13247,1,23,25,30
"54",8684,1,8029,1,26,29,34
"55",2194,1,2102,1,26,27,32
"56",3810,1,2102,1,26,28,35
"57",4010,1,6432,1,27,29,35
"58",8426,1,5502,1,27,28,33
"59",9706,1,2588,1,26,27,33
"60",12840,1,2102,1,26,28,35
"61",14103,1,8029,1,24,27,32
"62",2102,1,8029,1,24,25,32
"63",2792,1,3385,1,25,27,32
"64",7281,1,5124,1,27,30,35
"65",10820,1,2588,1,28,31,36
"66",2847,1,10488,1,27,30,35
"67",6347,1,617,1,30,32,37
"68",6633,1,2996,1,27,29,35
"69",617,1,2588,1,27,29,35
"70",2281,1,5124,1,29,31,36
