"","host_id","group","infector_id","infector_group","exposure_time","infectious_time","recovery_time"
"1",9181,1,NA,NA,0,0,4
"2",14176,1,NA,NA,0,0,6
"3",8849,1,NA,NA,0,0,4
"4",11615,1,9181,1,1,3,9
"5",14152,1,NA,NA,0,0,5
"6",1543,1,NA,NA,0,0,6
"7",12209,1,11615,1,3,6,13
"8",13784,1,11615,1,3,5,10
"9",751,1,13784,1,6,7,12
"10",7163,1,751,1,9,10,16
"11",4965,1,7163,1,13,14,19
"12",5453,1,7163,1,14,15,21
"13",4542,1,7163,1,13,15,21
"14",13535,1,4965,1,16,18,23
"15",5744,1,4965,1,15,18,23
"16",11055,1,13535,1,19,20,24
"17",3244,1,4542,1,17,19,24
"18",4728,1,13535,1,18,19,23
"19",4758,1,5744,1,18,20,26
"20",10187,1,4758,1,22,23,29
"21",531,1,4758,1,24,26,30
"22",1497,1,10187,1,23,26,32
"23",5117,1,10187,1,23,24,29
"24",6080,1,5117,1,25,27,33
"25",2887,1,4728,1,22,27,34
"26",6715,1,10187,1,24,26,31
"27",9511,1,10187,1,23,26,31
"28",2609,1,2887,1,28,30,37
"29",1483,1,9511,1,28,30,37
"30",8014,1,13278,1,29,31,37
"31",8336,1,2609,1,30,32,35
"32",13278,1,1497,1,26,28,33
"33",3400,1,11473,1,32,33,38
"34",3388,1,11473,1,32,33,38
"35",4673,1,2609,1,33,34,39
"36",13343,1,1483,1,30,32,36
"37",12960,1,13278,1,29,32,37
"38",906,1,1483,1,32,37,42
"39",11473,1,2609,1,30,31,39
"40",3865,1,3388,1,35,37,41
"41",6633,1,3400,1,34,36,41
"42",7902,1,11473,1,33,34,39
"43",11537,1,7902,1,35,36,42
"44",6175,1,1483,1,31,36,42
"45",12059,1,7902,1,37,39,43
"46",13514,1,12922,1,37,38,44
"47",2237,1,11537,1,38,40,46
"48",9023,1,13343,1,34,37,43
"49",11896,1,3388,1,36,39,45
"50",1032,1,906,1,38,40,45
"51",10379,1,9023,1,39,41,47
"52",12922,1,11473,1,34,37,43
"53",14114,1,6175,1,39,41,46
"54",71,1,4331,1,41,43,49
"55",2524,1,906,1,38,41,45
"56",4331,1,4673,1,38,39,46
"57",9427,1,10379,1,41,42,47
"58",13137,1,9023,1,38,40,47
"59",5777,1,2237,1,40,43,46
"60",11822,1,6175,1,37,40,46
"61",590,1,11896,1,42,44,50
"62",4718,1,13137,1,41,43,47
"63",9614,1,2524,1,42,43,48
"64",12254,1,9427,1,43,45,49
"65",1609,1,5000,1,44,46,52
"66",2120,1,9427,1,44,45,50
"67",3328,1,3865,1,38,41,48
"68",3384,1,4310,1,43,44,49
"69",4310,1,1032,1,41,42,47
"70",9486,1,11575,1,43,44,48
"71",1820,1,10379,1,43,47,52
"72",3214,1,11896,1,41,42,48
"73",4095,1,6731,1,46,47,54
"74",6731,1,11822,1,41,43,48
"75",7563,1,590,1,44,45,52
"76",9604,1,3214,1,43,44,50
"77",11350,1,9427,1,43,45,50
"78",4204,1,10379,1,42,44,52
"79",5000,1,11822,1,41,43,49
"80",10230,1,71,1,46,48,51
"81",12603,1,2524,1,43,45,50
"82",12757,1,5777,1,45,47,52
"83",13070,1,10379,1,42,44,49
"84",14035,1,9614,1,46,47,51
"85",683,1,2120,1,46,48,52
"86",11575,1,11896,1,41,42,50
"87",3109,1,7563,1,47,48,52
"88",3603,1,2120,1,46,48,55
"89",5065,1,590,1,45,47,53
"90",6057,1,7563,1,47,48,51
"91",6081,1,5065,1,48,50,56
"92",7031,1,1609,1,46,47,54
"93",9347,1,1609,1,48,50,54
"94",11365,1,11350,1,47,49,53
"95",13314,1,5376,1,49,50,55
"96",13681,1,11575,1,47,49,54
"97",10191,1,7563,1,46,47,54
"98",10629,1,4095,1,48,49,54
"99",10647,1,590,1,44,47,53
"100",1902,1,10647,1,48,50,54
"101",2435,1,12254,1,46,49,53
"102",4001,1,3603,1,50,51,56
"103",5376,1,7563,1,47,48,54
"104",5847,1,12757,1,48,50,55
"105",8159,1,4095,1,48,50,56
"106",10296,1,9614,1,44,49,54
"107",5762,1,2435,1,50,52,57
"108",6592,1,1902,1,51,52,58
"109",10764,1,10230,1,50,52,58
"110",9381,1,1609,1,48,50,55
"111",9952,1,2113,1,53,54,58
"112",9992,1,5847,1,51,53,59
"113",10504,1,10296,1,50,52,55
"114",13914,1,1609,1,48,50,56
"115",1834,1,11350,1,48,50,56
"116",2113,1,3603,1,49,52,57
"117",7018,1,683,1,51,53,58
"118",7729,1,9381,1,52,53,57
"119",7977,1,1609,1,48,51,58
"120",8699,1,10647,1,49,51,57
"121",12011,1,6081,1,51,53,59
"122",12102,1,2435,1,51,53,59
"123",13527,1,5376,1,50,52,58
"124",1354,1,2435,1,51,53,59
"125",3272,1,7977,1,52,54,59
"126",4878,1,8159,1,52,54,58
"127",5258,1,13527,1,55,56,62
"128",6995,1,13314,1,51,53,60
"129",9424,1,7018,1,54,56,61
"130",11695,1,7977,1,52,53,57
"131",13407,1,5762,1,54,55,62
"132",2805,1,4878,1,55,57,63
"133",2855,1,3299,1,54,55,61
"134",3299,1,10296,1,51,53,58
"135",3813,1,11695,1,54,56,61
"136",4205,1,14035,1,50,53,58
"137",5644,1,5847,1,52,53,58
"138",5854,1,7977,1,52,54,60
"139",8073,1,13681,1,53,56,60
"140",8509,1,10296,1,50,55,61
"141",10454,1,1942,1,55,56,62
"142",13551,1,10296,1,52,55,60
"143",651,1,7977,1,52,54,60
"144",2301,1,4001,1,52,54,59
"145",5726,1,8509,1,57,58,62
"146",6909,1,3272,1,55,56,62
"147",6958,1,651,1,55,57,63
"148",7283,1,10296,1,51,53,59
"149",7288,1,7018,1,55,56,61
"150",8018,1,11060,1,57,58,64
"151",8734,1,10504,1,53,56,62
"152",9827,1,8699,1,54,56,61
"153",9959,1,9952,1,54,56,61
"154",11060,1,7729,1,55,56,60
"155",11502,1,1354,1,54,57,64
"156",13476,1,8073,1,56,58,64
"157",918,1,1834,1,51,53,60
"158",1055,1,1942,1,55,57,61
"159",1942,1,683,1,50,54,60
"160",4195,1,3272,1,55,56,62
"161",4467,1,4545,1,56,58,62
"162",5356,1,4001,1,54,56,61
"163",5858,1,651,1,56,57,62
"164",7671,1,12102,1,55,56,62
"165",10562,1,3272,1,57,59,64
"166",11318,1,4001,1,53,55,60
"167",11355,1,2855,1,56,57,62
"168",11619,1,2301,1,56,58,63
"169",12360,1,8699,1,53,55,62
"170",13428,1,3109,1,51,55,60
"171",541,1,2301,1,55,59,63
"172",752,1,4109,1,59,60,64
"173",2140,1,11318,1,56,57,62
"174",2508,1,3813,1,57,59,64
"175",2726,1,13914,1,53,56,61
"176",4545,1,11695,1,54,55,63
"177",4928,1,6948,1,59,60,67
"178",6948,1,13551,1,56,57,65
"179",7628,1,11502,1,58,59,64
"180",8302,1,651,1,55,57,64
"181",8316,1,5854,1,55,56,61
"182",10318,1,5858,1,58,59,65
"183",10733,1,8302,1,58,60,66
"184",11855,1,6909,1,57,60,65
"185",13649,1,7671,1,58,60,65
"186",2404,1,4205,1,56,61,66
"187",2542,1,9827,1,57,59,64
"188",2738,1,13527,1,57,60,65
"189",3103,1,7288,1,58,60,63
"190",3704,1,1055,1,59,61,65
"191",4005,1,4351,1,58,60,66
"192",4109,1,4545,1,56,58,62
"193",4176,1,13428,1,56,58,63
"194",5790,1,11502,1,59,61,66
"195",10450,1,2726,1,57,60,67
"196",10705,1,9039,1,59,61,66
"197",12506,1,8018,1,58,60,64
"198",31,1,12360,1,57,60,64
"199",2466,1,11619,1,61,62,67
"200",3148,1,2508,1,60,61,66
"201",3284,1,6337,1,61,62,68
"202",4923,1,6995,1,55,59,65
"203",8204,1,2508,1,61,62,69
"204",8484,1,10454,1,57,59,64
"205",9039,1,651,1,56,58,63
"206",9111,1,7671,1,57,59,64
"207",9641,1,5258,1,58,59,64
"208",10987,1,11502,1,58,61,66
"209",12363,1,4351,1,58,59,64
"210",12408,1,11502,1,58,60,66
"211",13008,1,5854,1,57,58,63
"212",13047,1,5858,1,59,62,69
"213",13651,1,4467,1,60,62,68
"214",556,1,3148,1,62,63,68
"215",3125,1,11855,1,61,63,68
"216",3159,1,3704,1,62,63,68
"217",4606,1,4176,1,59,61,69
"218",5531,1,8018,1,60,62,67
"219",6337,1,13476,1,58,60,64
"220",8649,1,11355,1,58,61,65
"221",8685,1,2140,1,59,62,66
"222",9625,1,752,1,62,63,69
