"lower","med","upper","time"
0.9798946,1.2154466,1.4823981,2
0.9798946,1.2154466,1.4823981,3
0.9798946,1.2154466,1.4823981,4
0.9798946,1.2154466,1.4823981,5
0.9798946,1.2154466,1.4823981,6
0.9798946,1.2154466,1.4823981,7
0.9798946,1.2154466,1.4823981,8
0.9798946,1.2154618,1.4823981,9
0.9798946,1.2155069,1.48202236666667,10
0.9797938,1.21555946666667,1.48110846666667,11
0.9797938,1.21563426666667,1.47977006666667,12
0.981224166666667,1.2158742,1.4791247,13
0.981324966666667,1.21621143333333,1.47567523333333,14
0.982859433333333,1.21656523333333,1.47231826666667,15
0.986152533333333,1.21626733333333,1.468976,16
0.995134,1.21474266666667,1.469069,17
1.006537,1.21112466666667,1.469069,18
1.01531733333333,1.20476633333333,1.46405766666667,19
1.01915033333333,1.19389833333333,1.45243333333333,20
1.01760966666667,1.17778566666667,1.43476266666667,21
1.01294733333333,1.156934,1.413807,22
1.00347803333333,1.13544773333333,1.38375326666667,23
0.992749266666667,1.11750323333333,1.3437209,24
0.986111066666667,1.10470533333333,1.29752693333333,25
0.9847188,1.09672363333333,1.2583221,26
0.9849494,1.09179716666667,1.23096936666667,27
0.984711333333333,1.08941566666667,1.21771933333333,28
0.984711333333333,1.08847376666667,1.21305063333333,29
0.9857656,1.08821886666667,1.2129798,30
0.9857656,1.08819686666667,1.2129798,31
0.9857656,1.08817643333333,1.2129798,32
0.984559833333333,1.08804063333333,1.2116474,33
0.983365766666667,1.08779536666667,1.2102674,34
0.981238766666667,1.08729066666667,1.20831416666667,35
0.9800215,1.08630133333333,1.20769333333333,36
0.977503733333333,1.0844728,1.20637506666667,37
0.974991033333333,1.0808399,1.2056054,38
0.9644951,1.07503556666667,1.1953725,39
0.95496,1.06621923333333,1.18228143333333,40
0.9460739,1.0551875,1.16500756666667,41
0.945467066666667,1.04349143333333,1.1517453,42
0.9452388,1.0336521,1.13700596666667,43
0.944835866666667,1.02713866666667,1.122485,44
0.944898766666667,1.02397183333333,1.11269903333333,45
0.944939333333333,1.0232285,1.1081547,46
0.945405166666667,1.02371456666667,1.1078579,47
0.945468533333333,1.02444853333333,1.1085441,48
0.945491333333333,1.02489366666667,1.10902133333333,49
0.9455547,1.0250716,1.1092877,50
0.9455547,1.0250908,1.1092877,51
0.9455547,1.0250908,1.1092877,52
0.9455547,1.0250953,1.1092877,53
0.9455547,1.0251061,1.1092877,54
0.9455319,1.0251834,1.10931813333333,55
0.9455091,1.02539583333333,1.10931813333333,56
0.945493266666667,1.02585456666667,1.1092126,57
0.9456379,1.02661053333333,1.10907663333333,58
0.9469797,1.02772416666667,1.10962156666667,59
0.949805533333333,1.02921203333333,1.1107203,60
0.9534478,1.03084283333333,1.1113806,61
0.957217833333333,1.03197646666667,1.11094146666667,62
0.960593433333333,1.03160536666667,1.11041373333333,63
0.960689766666667,1.0287507,1.10804973333333,64
0.957591166666667,1.0240429,1.10349336666667,65
0.9503045,1.01868173333333,1.09441183333333,66
0.9467354,1.01457823333333,1.08705,67
0.945126933333333,1.0120711,1.08166156666667,68
0.9465389,1.01108026666667,1.08035343333333,69
0.946558466666667,1.01080866666667,1.0796003,70
0.9464874,1.0107937,1.0795151,71
0.9464874,1.0107937,1.0795151,72
0.9464874,1.0107937,1.0795151,73
0.9464874,1.0107937,1.0795151,74
0.9464874,1.0107937,1.0795151,75
0.9464874,1.01078423333333,1.0795151,76
0.946533766666667,1.01073926666667,1.0795151,77
0.946731666666667,1.01063766666667,1.0795151,78
0.9467121,1.01027046666667,1.0787498,79
0.9467121,1.0096366,1.0774179,80
0.945902933333333,1.00838603333333,1.07483416666667,81
0.943861366666667,1.00676813333333,1.07077276666667,82
0.942294033333333,1.0049031,1.06738723333333,83
0.941376533333333,1.00388853333333,1.06532123333333,84
0.941412466666667,1.00423283333333,1.0668783,85
0.941415133333333,1.0059027,1.0696125,86
0.943337866666667,1.00794933333333,1.07427456666667,87
0.946063966666667,1.0094694,1.07755653333333,88
0.948517566666667,1.0102649,1.0795521,89
0.9490589,1.0105065,1.0795521,90
0.9492933,1.0105582,1.0795521,91
0.9492933,1.0105582,1.0795521,92
0.9492933,1.0105582,1.0795521,93
0.9492933,1.0105582,1.0795521,94
0.9492933,1.0105582,1.0795521,95
0.9492933,1.0105582,1.0795521,96
0.9492933,1.0105582,1.0795521,97
0.9493932,1.0105548,1.07972106666667,98
0.948016166666667,1.0105548,1.07839056666667,99
0.947651033333333,1.01053496666667,1.07873923333333,100
0.943868066666667,1.0103007,1.07857026666667,101
0.933778933333333,1.0095634,1.08044746666667,102
0.9110731,1.00711036666667,1.07917453333333,103
0.885381266666667,1.00007296666667,1.07719956666667,104
0.862435766666667,0.981808333333333,1.07205053333333,105
0.8487058,0.958614,1.06235286666667,106
0.839757833333333,0.9374705,1.0436886,107
0.836769733333333,0.927346966666667,1.0218805,108
0.836012066666667,0.923787966666667,1.00514063333333,109
0.836776333333333,0.922980333333333,0.998418066666667,110
0.8366175,0.9228796,0.9974667,111
0.8366175,0.9228796,0.9974667,112
0.8366175,0.9228796,0.9974667,113
0.8366175,0.9228796,0.9974667,114
0.8366175,0.9228796,0.9974667,115
0.8366175,0.9228796,0.9974667,116
0.8366175,0.9228796,0.9974667,117
0.8366175,0.9228796,0.9974667,118
0.8366175,0.9228796,0.9974667,119
0.836589933333333,0.9228796,0.9974667,120
0.836748766666667,0.922883566666667,0.997784333333333,121
0.836036766666667,0.922994533333333,0.998944833333333,122
0.831624433333333,0.923747666666667,1.00447273333333,123
0.829678333333333,0.9269557,1.02687716666667,124
0.8307807,0.9364022,1.0566532,125
0.841972,0.9599171,1.088722,126
0.863111266666667,0.987582833333333,1.1088202,127
0.8914916,1.01063323333333,1.1206788,128
0.915133266666667,1.01923313333333,1.1256359,129
0.926174333333333,1.02122333333333,1.12536943333333,130
0.9277967,1.0214834,1.1251281,131
0.9277967,1.0214834,1.1251281,132
0.9277967,1.0214834,1.1251281,133
0.9277967,1.0214834,1.1251281,134
0.9277967,1.0214834,1.1251281,135
0.9277967,1.0214834,1.1251281,136
0.9277967,1.0214834,1.1251281,137
0.9277967,1.0214834,1.1251281,138
0.9277967,1.0214834,1.1251281,139
0.9277967,1.0214834,1.1251281,140
0.9277967,1.0214834,1.1251281,141
0.9277967,1.0214834,1.1251281,142
0.927399566666667,1.02147326666667,1.1251281,143
0.923236,1.02103446666667,1.12680073333333,144
0.8930841,1.01849666666667,1.1318267,145
0.837069833333333,1.00513496666667,1.13206803333333,146
0.766672766666667,0.958887033333333,1.11751103333333,147
0.7175612,0.9061543,1.07530796666667,148
0.696186266666667,0.863367166666667,1.0315322,149
0.692960566666667,0.853894933333333,1.00088213333333,150
0.6944377,0.8530065,0.9945248,151
0.6944377,0.8530065,0.9945248,152
0.6944377,0.8530065,0.9945248,153
0.6944377,0.8530065,0.9945248,154
0.6944377,0.8530065,0.9945248,155
