"infectious_time","incidence"
0,8
1,0
2,0
3,0
4,0
5,2
6,1
7,3
8,1
9,4
10,2
11,1
12,4
13,3
14,2
15,3
16,3
17,4
18,7
19,1
20,7
21,4
22,4
23,4
24,5
25,3
26,5
27,8
28,7
29,8
30,5
31,9
32,9
33,11
34,9
35,9
36,9
37,6
38,17
39,8
40,6
41,5
42,6
43,14
44,10
45,12
46,8
47,10
48,15
49,11
50,5
51,5
52,8
53,11
54,3
55,10
56,15
57,7
58,14
59,10
60,9
61,3
62,6
63,12
64,9
65,15
66,12
67,7
68,11
69,9
70,6
71,6
72,5
73,7
74,10
75,6
76,11
77,11
78,16
79,6
80,12
81,9
82,13
83,7
84,5
85,16
86,7
87,8
88,14
89,17
90,10
91,12
92,12
93,11
94,14
95,13
96,10
97,10
98,12
99,7
100,10
101,9
102,14
103,12
104,12
105,6
106,9
107,13
108,10
109,8
110,11
111,8
112,10
113,7
114,7
115,7
116,16
117,10
118,10
119,6
120,13
121,5
122,10
123,14
124,13
125,12
126,6
127,8
128,12
129,9
130,14
131,10
132,14
133,5
134,15
135,12
136,7
137,12
138,7
139,14
140,7
141,9
142,11
143,8
144,3
145,11
146,9
147,10
148,5
149,9
150,6
151,3
152,6
153,7
154,9
155,5
156,4
157,5
158,5
159,5
160,4
161,2
162,8
163,5
164,0
165,4
166,2
167,4
168,1
169,4
170,7
171,1
172,1
173,2
174,4
175,1
176,3
177,3
178,3
179,4
180,0
181,1
182,4
183,3
184,2
185,1
186,3
187,4
188,2
189,2
190,1
191,4
192,2
193,2
194,4
195,3
196,6
197,3
198,1
199,3
200,5
201,3
202,1
203,1
204,3
205,1
206,2
207,2
208,2
209,4
210,0
211,0
212,1
213,2
214,1
215,0
216,0
217,1
218,0
219,0
220,1
221,2
222,1
223,1
224,2
