"scenario_number","dist_seq_estim2","dist_epi_estim2","perfect_aling","proportion_seq_greater"
"001",0.0564351603135244,0.0443614723363222,0,1
"002",0.0712736426846537,0.0558985793589373,0,1
"004",0.082183081872797,0.0565864941422593,0,1
"007",0.0476031849010796,0.0496891665548722,0,0
"008",0.0439167090375225,0.0593988570086947,0,0
"009",0.097835713180575,0.094336039345499,0,1
"010",0.0705040602816574,0.0646975836730042,0,1
"012",0.0983070782903891,0.0783019265413404,0,1
"013",0.055234522899517,0.058040537796802,0,0
"014",0.0834602172302333,0.0625341657544599,0,1
"015",0.0898178201111714,0.0780636393299398,0,1
"016",0.0710101297411406,0.0760434907047518,0,0
"017",0.0694263737819619,0.0691808976813099,0,1
"018",0.0730509325419494,0.0652563800666368,0,1
"019",0.0778105654117099,0.0537912622097143,0,1
"020",0.0664066994518538,0.0711212501618732,0,0
