"infectious_time","Rt_day_avg","smoothRt_day_avg"
0,0.888888888888889,0.888888888888889
1,0,0.444444444444444
2,0,0.296296296296296
3,0.5,0.347222222222222
4,1,0.477777777777778
5,2,0.731481481481482
6,1.5,0.841269841269841
7,1,0.857142857142857
8,1.5,1.07142857142857
9,0,1.07142857142857
10,2.25,1.32142857142857
11,1.6,1.40714285714286
12,1.5,1.33571428571429
13,1.375,1.31785714285714
14,1.66666666666667,1.41309523809524
15,1,1.34166666666667
16,1.16666666666667,1.50833333333333
17,1.33333333333333,1.37738095238095
18,1.22222222222222,1.3234126984127
19,1,1.25198412698413
20,1.2,1.22698412698413
21,1.66666666666667,1.22698412698413
22,1.375,1.28055555555556
23,0.785714285714286,1.22613378684807
24,1.28571428571429,1.21933106575964
25,1.38461538461538,1.24253008895866
26,1.75,1.34967294610152
27,0.631578947368421,1.26846993858272
28,1.83333333333333,1.29227946239224
29,1.3,1.28156517667796
30,0.857142857142857,1.29176925831061
31,1.58333333333333,1.33428626511333
32,1.33333333333333,1.32696025778733
33,0.916666666666667,1.20791263873971
34,2,1.40340136054422
35,1.04761904761905,1.29115646258503
36,1.21052631578947,1.27837450769782
37,1.03846153846154,1.30427717645763
38,1.45,1.28522955741001
39,1.08695652173913,1.25003287003941
40,1.3,1.30479477480131
41,0.647058823529412,1.11151746387694
42,1.26923076923077,1.14317628125005
43,2.30434782608696,1.29943649700683
44,0.714285714285714,1.25312566498171
45,2,1.33169709355314
46,1.19354838709677,1.34692450288995
47,0.954545454545455,1.2975738535393
48,1.30555555555556,1.39164481525732
49,1.23913043478261,1.38734476747901
50,1.18604651162791,1.227587436842
51,1.56756756756757,1.3494848444537
52,0.770491803278688,1.17384081635065
53,1.28301886792453,1.18662231361176
54,1.48076923076923,1.26179713878658
55,1.19230769230769,1.24561887260832
56,1.09230769230769,1.2246441951119
57,0.924242424242424,1.18724361119969
58,1.13846153846154,1.12594274989883
59,1.14035087719298,1.17877976045801
60,0.945205479452055,1.13052070496195
61,1.46875,1.12880367199491
62,0.946666666666667,1.09371209690334
63,0.987951807228916,1.07880411332065
64,1.22972972972973,1.1224451569617
65,1.01190476190476,1.10436561745359
66,1.12987012987013,1.10286836783604
67,1.2289156626506,1.14339839400726
68,0.989010989010989,1.07486424958026
69,1.23456790123457,1.11599299737567
70,0.914893617021277,1.10555611306029
71,1.04395604395604,1.07901701509262
72,1.07777777777778,1.08842744593163
73,0.917525773195876,1.0580925378353
74,0.827272727272727,1.00071497563847
75,1.17708333333333,1.0275824533988
76,1,0.994072753222434
77,1.14473684210526,1.026907499663
78,1.00990099009901,1.02204249196914
79,0.727272727272727,0.971970341896991
80,0.954545454545455,0.977258867804074
81,1.19047619047619,1.02914507683314
82,0.972222222222222,0.999879203817267
83,1.22666666666667,1.03226015619822
84,0.743589743589744,0.974953427838859
85,0.962025316455696,0.968114045889814
86,1.0561797752809,1.01510076703384
87,1.01149425287356,1.02323630965214
88,1.20731707317073,1.02564215003707
89,1.02197802197802,1.03275012143076
90,0.977011494252874,0.997085096800218
91,0.805555555555556,1.00593735565248
92,0.739130434782609,0.974095229699179
93,0.964705882352941,0.961027530709471
94,0.956989247311828,0.953241101343509
95,1.04,0.929338662319118
96,0.772727272727273,0.893731412426154
97,0.721518987341772,0.857232482867425
98,0.791666666666667,0.855248355883299
99,0.756756756756757,0.857766401879605
100,1.01754385964912,0.865314684350488
101,0.828571428571429,0.846969281673289
102,0.623188405797101,0.787424768215732
103,1.09803921568627,0.83389790292416
104,1.05128205128205,0.881006912058486
105,0.865384615384615,0.891538047589622
106,0.816326530612245,0.900048015283263
107,1.03921568627451,0.903143990515461
108,0.744186046511628,0.891088935935489
109,0.945945945945946,0.937197155956753
110,0.615384615384615,0.868246498770802
111,0.7,0.818063348587651
112,0.806451612903226,0.809644348233167
113,0.911764705882353,0.823278373271754
114,0.758620689655172,0.783193373754706
115,0.580645161290323,0.759830390151662
116,0.558823529411765,0.704527187789636
117,0.95,0.752329385591834
118,0.863636363636364,0.775706008968457
119,0.772727272727273,0.770888246086178
120,0.842105263157895,0.760936897125542
121,0.944444444444444,0.787483147809723
122,1.2,0.875962410482534
123,0.75,0.903273334852282
124,0.608695652173913,0.854515570877127
125,0.866666666666667,0.854948471310027
126,0.571428571428571,0.826191513981641
127,1.88888888888889,0.975732031943212
128,0.555555555555556,0.920176476387657
129,0.235294117647059,0.782361350337236
130,0.416666666666667,0.734742302718189
131,1.5,0.862071495264773
132,0.75,0.845404828598106
133,2.5,1.12091503267974
134,0.555555555555556,0.930438842203548
135,0.1,0.865359477124183
136,1,0.974603174603175
137,0.5,0.986507936507937
138,0.8,0.886507936507936
139,1,0.922222222222222
140,1,0.707936507936508
141,0.6,0.714285714285714
142,1.66666666666667,0.938095238095238
143,0,0.795238095238095
144,1,0.866666666666667
145,1,0.895238095238095
146,0.75,0.85952380952381
147,1.66666666666667,0.954761904761905
148,1.5,1.08333333333333
149,0,0.845238095238095
150,0.333333333333333,0.892857142857143
151,0,0.75
152,0,0.607142857142857
153,0,0.5
154,1,0.404761904761905
155,0,0.19047619047619
156,0,0.19047619047619
157,0,0.142857142857143
158,0,0.142857142857143
159,0.5,0.214285714285714
160,0,0.214285714285714
161,0,0.0714285714285714
162,0,0.0714285714285714
163,0,0.0714285714285714
164,1,0.214285714285714
165,0,0.214285714285714
166,0,0.142857142857143
