"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,9,0.876250623125603,0.252951766569572,0.452771483562912,0.505612127473587,0.695058516316436,0.852034206975941,1.03109688781888,1.32952880899355,1.43719987597191
3,10,0.960799662488118,0.248077406123879,0.537752277522375,0.592258080998936,0.783935906097976,0.939534972664975,1.11451936223547,1.40190188520917,1.50458800305556
4,11,1.03291152930716,0.25822788232679,0.590398186018107,0.64789096352461,0.849056719215194,1.0114740666686,1.19343185973495,1.49108072644696,1.59715358187127
5,12,1.0283439169775,0.265517257641838,0.575556284021667,0.633893847650635,0.839046631478256,1.00558431861398,1.1928701177314,1.50045564350099,1.61036059951639
6,13,1.18109885792229,0.286458549735883,0.688033609594894,0.752578153155974,0.977396811085107,1.15802252646357,1.35968027499452,1.68835884087738,1.80520522281629
7,14,1.10397115410562,0.275992788526405,0.631014901380245,0.692462921017672,0.907467967602086,1.08105889134284,1.27553455466003,1.59366031236426,1.70703049877374
8,15,0.943420577441585,0.252139755172775,0.515776808640367,0.570360916045288,0.76340096021374,0.921055754846552,1.09910162069045,1.39279666945008,1.49804378241889
9,16,0.925526440845828,0.247357346003242,0.505993917650473,0.559542712176688,0.748921308840816,0.903585818443185,1.07825463578941,1.36637908385867,1.46962994376623
10,17,1.08224297886641,0.270560744716603,0.618595371843852,0.678833981856925,0.889607335147428,1.05978167141944,1.25042969732363,1.56229415717982,1.67343301058024
11,18,1.12803595116613,0.282008987791533,0.644770012179473,0.707557499897063,0.927249310980529,1.10462423789549,1.30333915814754,1.62839954613664,1.74424102042218
12,19,1.34479712909664,0.30851762027873,0.809655719836025,0.88062639935329,1.12589831883424,1.32127920114935,1.53809072937307,1.88921137291534,2.01349822826321
13,20,1.44024908930501,0.314288117682448,0.891536886256671,0.965105753736957,1.21769322731922,1.41745362957677,1.6379833080933,1.99316886515714,2.11842657830648
14,21,1.27993925604789,0.28620311835936,0.781820149481823,0.848257445298086,1.07707832105194,1.25867130048398,1.45964316338249,1.78418666216451,1.89884451233606
15,22,1.28013348194061,0.27292537538054,0.802252837714882,0.866635153494316,1.08704079256015,1.26079063534289,1.45216292274703,1.75962745298867,1.86787364584368
16,23,1.19299031342392,0.254346389427283,0.747640677954791,0.807640264063755,1.01304211952569,1.17496420212328,1.35330910783173,1.6398434509095,1.74072094639168
17,24,1.28732941327016,0.257465882654032,0.833091720426028,0.895060874449969,1.10561215113783,1.27020630318942,1.45039813143603,1.73801846016673,1.83882635932746
18,25,1.32868059104732,0.255704698969401,0.875608881751067,0.937857021180441,1.14846046721491,1.3123136173929,1.49107439382606,1.7753440352364,1.87472028871554
19,26,1.30011558178218,0.245698750359693,0.863917362276827,0.92404037897879,1.12706102821942,1.28467120047304,1.45634813236435,1.72888265337008,1.82404277304215
20,27,1.24964052905679,0.23205242064295,0.836903874665407,0.893965999009917,1.08629977669959,1.23530656646947,1.39736828205798,1.65421818199584,1.74379992870027
21,28,1.12500153387335,0.212605305942506,0.747555349170545,0.799580328302081,0.975255895154822,1.11163737386637,1.2601909443448,1.49601748043215,1.57836037524455
22,29,1.14199755016209,0.208499272946471,0.77050095152007,0.822009045849305,0.995323507121611,1.1293340587897,1.27487774151964,1.50518978111962,1.58542901073216
23,30,1.21881648800048,0.212168717271279,0.838977189000355,0.892051380094515,1.06980691545407,1.2065275633482,1.35443923448313,1.58750676634556,1.66846566759955
24,31,1.2232203957591,0.209780567190145,0.847115683244577,0.899790728195208,1.07596263144389,1.21124916564767,1.357437132436,1.58749119191074,1.66733104107646
25,32,1.23632784918213,0.206054641530355,0.865908826197753,0.918013487844039,1.09182373818493,1.22489940423514,1.36838173490565,1.59363124040363,1.67167073299649
26,33,1.20208674041854,0.197621842778006,0.846380000547693,0.896516795912398,1.06355909095843,1.19127464640312,1.32883540937616,1.54454284246817,1.61921650829505
27,34,1.26246297689339,0.197163592346529,0.905965228748386,0.956581909618025,1.12448539122293,1.25221401756949,1.3892743703572,1.60330855458674,1.67718659008552
