"generation_times"
5
4
3
3
4
1
4
5
4
7
2
3
3
3
5
3
1
4
3
2
4
3
5
5
4
2
5
2
4
4
6
4
3
3
3
4
3
3
5
2
5
8
3
4
7
7
2
3
4
3
2
3
3
4
3
1
4
5
3
5
3
4
3
4
9
3
2
4
3
4
2
