"infectious_time","incidence"
0,3
1,0
2,0
3,2
4,3
5,2
6,1
7,0
8,2
9,0
10,1
11,4
12,2
13,0
14,1
15,2
16,3
17,2
18,2
19,1
20,3
21,2
22,1
23,3
24,3
25,4
26,2
27,2
28,2
29,1
30,1
31,2
32,3
33,1
34,7
35,2
36,5
37,5
38,2
39,1
40,2
41,6
42,3
43,2
44,4
45,2
46,3
47,2
48,0
49,3
50,1
51,2
52,3
53,0
54,3
55,2
56,0
57,2
58,2
59,2
60,3
61,3
62,2
63,2
64,3
65,3
66,1
67,3
68,1
69,5
70,2
71,5
72,1
73,3
74,4
75,3
76,3
77,4
78,3
79,3
80,2
81,3
82,3
83,3
84,4
85,3
86,2
87,2
88,3
89,4
90,1
91,1
92,0
93,5
94,1
95,1
96,2
97,2
98,1
99,0
100,0
101,0
102,1
103,2
104,2
105,1
106,2
107,0
108,2
109,4
110,1
111,1
112,3
113,1
114,4
115,3
116,1
117,2
118,2
119,1
120,0
121,4
122,0
123,1
124,0
125,1
126,2
127,1
128,1
129,2
130,5
131,1
132,4
133,3
134,0
135,3
136,4
137,2
138,3
139,1
140,4
141,2
142,2
143,0
144,1
145,2
146,4
147,4
148,3
149,3
150,1
151,6
152,3
153,4
154,3
155,2
156,3
157,6
158,2
159,0
160,1
161,2
162,1
163,1
164,2
165,1
166,3
167,3
168,0
169,0
170,1
171,2
172,5
173,3
174,4
175,0
176,1
177,1
178,2
179,2
180,1
181,2
182,3
183,1
184,2
185,0
186,2
187,3
188,0
189,0
190,0
191,1
192,1
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,2
208,0
209,1
