"infectious_time","incidence"
0,1
1,0
2,0
3,3
4,0
5,1
6,3
7,1
8,2
9,4
10,2
11,4
12,3
13,2
14,2
15,1
16,1
17,5
18,0
19,1
20,4
21,5
22,3
23,2
24,1
25,1
26,7
27,5
28,2
29,0
30,2
31,4
32,2
33,1
34,3
35,5
36,1
37,2
38,4
39,2
40,4
41,2
42,1
43,4
44,3
45,3
46,5
47,7
48,1
49,2
50,1
51,2
52,3
53,5
54,1
55,4
56,5
57,0
58,4
59,3
60,0
61,2
62,2
63,2
64,2
65,2
66,4
67,3
68,3
69,3
70,6
71,4
72,3
73,4
74,4
75,4
76,1
77,2
78,4
79,4
80,1
81,3
82,2
83,1
84,2
85,1
86,2
87,0
88,2
89,1
90,2
91,0
92,1
93,5
94,1
95,7
96,1
97,5
98,4
99,4
100,1
101,1
102,2
103,1
104,2
105,1
106,3
107,4
108,1
109,0
110,3
111,5
112,5
113,4
114,4
115,1
116,2
117,1
118,1
119,0
120,1
121,1
122,2
123,3
124,4
125,5
126,3
127,2
128,3
129,1
130,3
131,3
132,2
133,2
134,3
135,4
136,2
137,4
138,4
139,0
140,2
141,2
142,1
143,3
144,0
145,2
146,2
147,3
148,4
149,3
150,2
151,1
152,0
153,2
154,1
155,2
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,1
