"infectious_time","incidence"
0,3
1,0
2,0
3,1
4,2
5,2
6,0
7,1
8,2
9,1
10,2
11,3
12,3
13,3
14,2
15,2
16,3
17,0
18,1
19,2
20,2
21,1
22,2
23,2
24,3
25,1
26,6
27,1
28,4
29,5
30,2
31,2
32,6
33,1
34,1
35,1
36,1
37,5
38,3
39,4
40,2
41,1
42,3
43,4
44,3
45,3
46,2
47,3
48,1
49,1
50,1
51,2
52,2
53,5
54,2
55,3
56,1
57,1
58,4
59,3
60,5
61,0
62,3
63,4
64,3
65,4
66,0
67,0
68,2
69,1
70,9
71,3
72,4
73,1
74,3
75,3
76,5
77,3
78,3
79,1
80,5
81,2
82,2
83,1
84,1
85,8
86,5
87,3
88,4
89,1
90,3
91,5
92,1
93,2
94,0
95,3
96,2
97,2
98,3
99,3
100,0
101,5
102,2
103,4
104,1
105,5
106,3
107,1
108,4
109,2
110,4
111,2
112,3
113,0
114,2
115,0
116,3
117,2
118,3
119,5
120,3
121,4
122,6
123,4
124,3
125,0
126,1
127,4
128,1
129,0
130,2
131,5
132,2
133,3
134,2
135,1
136,3
137,3
138,1
139,2
140,5
141,3
142,1
143,3
144,4
145,3
146,1
147,3
148,3
149,2
150,2
151,1
152,3
153,0
154,2
155,1
156,2
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,2
165,0
166,1
167,2
