"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,10,2.03694515866449,0.588015417839723,1.05251928738727,1.17535342975927,1.61574330726193,1.98065131951113,2.39690307581743,3.0906423337244,3.34093608852653
3,11,2.32355257720842,0.580888144302105,1.32811106060721,1.45744207062674,1.90996796158515,2.27532862951364,2.68464587211048,3.35421221126805,3.59282495747133
4,12,2.05740273701132,0.498993458772502,1.1985129119729,1.31094560098194,1.70256609832818,2.01720516406059,2.36848075880375,2.94101893078531,3.14455825723414
5,13,1.91494999142011,0.428195835432801,1.16970120376264,1.26909974822651,1.61144453684919,1.88313045691314,2.18380962220532,2.66936748541758,2.84091003961676
6,14,1.70777337520981,0.364098506967769,1.07025248207636,1.15614227894019,1.45017636792607,1.68196887990805,1.93727076974407,2.34744654123632,2.49185333063252
7,15,1.44114414183881,0.307252963411726,0.903157361054013,0.975637456710047,1.22376493720251,1.41936842043628,1.63481083702294,1.98094716798527,2.10280818397312
8,16,1.30882670489901,0.272909233474268,0.82968385844494,0.894526012614056,1.11590877866907,1.289907852624,1.48114210194887,1.78767576202432,1.89542373581331
9,17,1.29032573384974,0.258065146769948,0.835030781120874,0.897144171305029,1.10818551612688,1.27316276891398,1.45377400223104,1.74206378098843,1.84310631534022
10,18,1.3555787876367,0.256180311045797,0.900772259777227,0.963460137095172,1.17514169019645,1.33947554575252,1.51847625188927,1.80263715323596,1.9018568237514
11,19,1.18520472618795,0.232437770247491,0.774215076653836,0.830488752155488,1.02127048159986,1.17004491398319,1.33262801418618,1.59164243220582,1.68230382567525
12,20,1.06013132013202,0.212026264026404,0.686061093813411,0.737093440612651,0.910484959993513,1.04603023216841,1.19442037907792,1.43127919365244,1.51429571616436
13,21,0.968369728564756,0.197667643111758,0.620452757206848,0.667732838675144,0.828751528181974,0.954953864752777,1.09337748451578,1.31477916236472,1.39248713887451
14,22,1.04104249504812,0.204165230643448,0.680043521000743,0.729472354902033,0.897048372143524,1.02772664473687,1.1705339695375,1.39804320066915,1.47767700669143
15,23,0.936857353952572,0.195348262214482,0.593887197847071,0.640301172097505,0.798766820483712,0.923315251078419,1.06020060964957,1.27961721583644,1.35674314949891
16,24,1.19291849669706,0.22151940366182,0.798916239375931,0.853388275140305,1.03699189202908,1.17923516240709,1.33394078665401,1.5791320951833,1.66464766556161
17,25,1.32926282561754,0.234982689493339,0.909214788705874,0.967763677789341,1.16414365145813,1.31544227281103,1.47932705141131,1.73791271139303,1.82782052354199
18,26,1.29613178988638,0.229125894485029,0.886553184791748,0.943642779822255,1.13512810677475,1.28265570562291,1.44245575970448,1.69459633555738,1.78226325231725
