"infectious_time","incidence"
0,2
1,0
2,0
3,0
4,0
5,1
6,0
7,2
8,0
9,3
10,2
11,1
12,4
13,3
14,2
15,3
16,3
17,3
18,6
19,1
20,2
21,4
22,3
23,4
24,5
25,3
26,5
27,7
28,5
29,5
30,5
31,6
32,2
33,5
34,5
35,5
36,3
37,6
38,6
39,2
40,2
41,2
42,1
43,7
44,7
45,2
46,0
47,1
48,6
49,5
50,3
51,4
52,7
53,7
54,6
55,5
56,9
57,6
58,2
59,4
60,5
61,4
62,5
63,2
64,4
65,7
66,5
67,4
68,4
69,3
70,4
71,4
72,2
73,1
74,4
75,3
76,2
77,4
78,5
79,4
80,4
81,6
82,5
83,3
84,3
85,8
86,2
87,1
88,4
89,8
90,3
91,4
92,5
93,4
94,6
95,7
96,4
97,2
98,7
99,3
100,6
101,3
102,1
103,1
104,2
105,5
106,4
107,4
108,3
109,5
110,0
111,1
112,3
113,0
114,3
115,6
116,3
117,1
118,7
119,8
120,2
121,3
122,3
123,6
124,2
125,4
126,10
127,2
128,3
129,4
130,6
131,4
132,7
133,3
134,10
135,6
136,3
137,3
138,4
139,4
140,2
141,8
142,5
143,4
144,3
145,6
146,1
147,4
148,6
149,6
150,6
151,3
152,6
153,5
154,5
155,5
156,3
157,2
158,5
159,5
160,2
161,1
162,7
163,4
164,0
165,4
166,2
167,4
168,1
169,4
170,7
171,1
172,1
173,2
174,4
175,1
176,3
177,3
178,1
179,3
180,0
181,1
182,4
183,3
184,2
185,1
186,1
187,2
188,2
189,2
190,1
191,3
192,2
193,2
194,4
195,3
196,6
197,3
198,0
199,3
200,4
201,1
202,1
203,1
204,3
205,1
206,2
207,2
208,2
209,4
210,0
211,0
212,1
213,2
214,1
215,0
216,0
217,1
218,0
219,0
220,1
221,2
222,1
223,1
224,2
