"infectious_time","incidence"
0,5
1,0
2,0
3,3
4,0
5,3
6,1
7,0
8,3
9,0
10,0
11,3
12,1
13,2
14,1
15,2
16,2
17,0
18,2
19,0
20,2
21,1
22,2
23,2
24,1
25,3
26,0
27,4
28,3
29,1
30,6
31,3
32,4
33,4
34,4
35,1
36,2
37,2
38,4
39,7
40,3
41,7
42,8
43,1
44,8
45,10
46,9
47,9
48,5
49,7
50,7
51,4
52,4
53,7
54,6
55,8
56,3
57,6
58,10
59,5
60,7
61,4
62,6
63,10
64,4
65,2
66,2
67,3
68,7
69,4
70,8
71,3
72,7
73,5
74,3
75,4
76,4
77,5
78,9
79,1
80,6
81,4
82,13
83,6
84,4
85,5
86,7
87,5
88,6
89,4
90,4
91,4
92,11
93,4
94,4
95,9
96,5
97,5
98,9
99,12
100,2
101,8
102,3
103,7
104,6
105,6
106,4
107,8
108,5
109,5
110,5
111,5
112,6
113,4
114,4
115,8
116,6
117,8
118,10
119,2
120,7
121,5
122,8
123,2
124,9
125,7
126,7
127,5
128,6
129,7
130,9
131,9
132,4
133,6
134,9
135,5
136,3
137,8
138,6
139,5
140,3
141,5
142,7
143,7
144,9
145,1
146,6
147,3
148,8
149,10
150,5
151,6
152,6
153,10
154,9
155,6
156,9
157,10
158,6
159,7
160,3
161,5
162,7
163,2
164,8
165,7
166,10
167,6
168,8
169,7
170,7
171,6
172,7
173,6
174,6
175,7
176,3
177,8
178,10
179,8
180,9
181,6
182,5
183,7
184,4
185,5
186,5
187,4
188,6
189,2
190,7
191,5
192,5
193,9
194,2
195,10
196,4
197,6
198,3
199,5
200,7
201,4
202,5
203,2
204,5
205,4
206,2
207,4
208,1
209,4
210,3
211,3
212,2
213,5
214,3
215,1
216,2
217,1
218,3
219,0
220,2
221,3
222,0
223,1
224,2
225,1
226,2
227,3
228,3
229,0
230,2
231,1
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
